Product_ID,Product_Name,Category,Subcategory,Brand,Launch_Date,Unit_Cost,Selling_Price,Supplier_ID,Product_Rating,Return_Rate,Warranty_Months
P00042,Electronics Item 42,Electronics,Mobiles,Brand_96,2024-07-05,10329.78,13399.59,SUP0142,4.8,0.053,12
P00043,Home Appliances Item 43,Home Appliances,Kitchen,Brand_17,2022-01-11,4296.12,8373.27,SUP0138,3.8,0.013,6
P00044,Furniture Item 44,Furniture,Living Room,Brand_48,2022-09-04,7325.13,13295.23,SUP0253,3.6,0.031,36
P00045,Grocery Item 45,Grocery,Staples,Brand_73,2024-03-02,367.48,803.09,SUP0472,4.2,0.005,0
P00046,Electronics Item 46,Electronics,Mobiles,Brand_28,2019-08-11,14881.55,29371.35,SUP0277,3.5,0.065,36
P00047,Fashion Item 47,Fashion,Womenswear,Brand_33,2018-07-13,738.26,1315.85,SUP0326,3.1,0.1,0
P00048,Electronics Item 48,Electronics,Mobiles,Brand_99,2018-10-29,5642.86,9838.93,SUP0135,4.2,0.038,12
P00049,Home Appliances Item 49,Home Appliances,Kitchen,Brand_66,2018-05-22,7672.45,16137.86,SUP0459,4.6,0.013,12
P00050,Fashion Item 50,Fashion,Womenswear,Brand_43,2021-03-20,790.94,1254.19,SUP0269,3.7,0.127,0
P00051,Grocery Item 51,Grocery,Staples,Brand_90,2025-07-04,607.21,766.16,SUP0337,3.4,0.08,0
P00052,Fashion Item 52,Fashion,Womenswear,Brand_59,2018-07-26,1328.74,1844.55,SUP0255,4.1,0.055,0
P00053,Fashion Item 53,Fashion,Womenswear,Brand_73,2018-02-16,3829.18,5213.8,SUP0435,3.2,0.1,0
P00054,Home Appliances Item 54,Home Appliances,Kitchen,Brand_44,2020-09-25,13259.0,26841.24,SUP0495,3.7,0.015,12
P00055,Home Appliances Item 55,Home Appliances,Kitchen,Brand_27,2019-05-30,1105.9,1867.27,SUP0205,4.3,0.055,24
P00056,Fashion Item 56,Fashion,Womenswear,Brand_81,2024-12-13,1830.96,3106.85,SUP0248,3.5,0.103,0
P00057,Fashion Item 57,Fashion,Womenswear,Brand_64,2019-09-08,1979.92,3097.42,SUP0137,4.6,0.046,0
P00058,Home Appliances Item 58,Home Appliances,Kitchen,Brand_6,2024-10-18,11078.21,15411.44,SUP0113,4.6,0.056,12
P00059,Fashion Item 59,Fashion,Womenswear,Brand_15,2025-10-28,1593.94,2117.2,SUP0186,3.4,0.111,0
P00060,Home Appliances Item 60,Home Appliances,Kitchen,Brand_92,2024-05-09,2265.53,4719.6,SUP0425,4.0,0.028,12
P00061,Home Appliances Item 61,Home Appliances,Kitchen,Brand_83,2022-02-02,3951.88,8304.66,SUP0325,5.0,0.017,36
P00062,Fashion Item 62,Fashion,Womenswear,Brand_46,2020-07-29,1064.29,1723.62,SUP0040,3.1,0.075,0
P00063,Electronics Item 63,Electronics,Mobiles,Brand_45,2021-02-04,6967.76,8706.36,SUP0053,3.3,0.048,24
P00064,Home Appliances Item 64,Home Appliances,Kitchen,Brand_17,2020-08-13,3729.43,7309.65,SUP0293,4.8,0.005,6
P00065,Electronics Item 65,Electronics,Mobiles,Brand_47,2022-07-19,32896.67,51943.95,SUP0453,4.1,0.005,12
P00066,Grocery Item 66,Grocery,Staples,Brand_97,2023-04-22,141.73,208.0,SUP0134,3.7,0.033,0
P00067,Electronics Item 67,Electronics,Mobiles,Brand_81,2024-10-29,11399.19,24488.79,SUP0072,4.8,0.071,24
P00068,Electronics Item 68,Electronics,Mobiles,Brand_78,2024-02-02,9417.21,12463.56,SUP0244,3.8,0.028,24
P00069,Furniture Item 69,Furniture,Living Room,Brand_5,2019-02-27,7991.34,13308.56,SUP0282,3.9,0.064,12
P00070,Fashion Item 70,Fashion,Womenswear,Brand_35,2020-09-13,2524.43,3683.72,SUP0383,4.8,0.153,0
P00071,Home Appliances Item 71,Home Appliances,Kitchen,Brand_67,2021-06-03,9796.88,19472.91,SUP0204,4.0,0.078,24
P00072,Home Appliances Item 72,Home Appliances,Kitchen,Brand_82,2021-03-09,6843.98,10168.88,SUP0128,4.4,0.005,12
P00073,Fashion Item 73,Fashion,Womenswear,Brand_89,2022-10-28,1450.43,2376.38,SUP0290,3.6,0.066,0
P00074,Grocery Item 74,Grocery,Staples,Brand_31,2021-10-01,995.79,1219.79,SUP0064,5.0,0.057,0
P00075,Grocery Item 75,Grocery,Staples,Brand_70,2025-01-11,131.53,284.31,SUP0316,4.0,0.032,0
P00076,Electronics Item 76,Electronics,Mobiles,Brand_30,2019-07-17,17398.65,24186.36,SUP0498,2.9,0.16,6
P00077,Fashion Item 77,Fashion,Womenswear,Brand_59,2021-05-24,993.73,1510.37,SUP0052,3.5,0.112,0
P00078,Fashion Item 78,Fashion,Womenswear,Brand_12,2018-11-17,1078.01,1367.78,SUP0333,2.9,0.179,0
P00079,Furniture Item 79,Furniture,Living Room,Brand_64,2021-01-13,4464.54,9303.27,SUP0263,3.3,0.019,6
P00080,Electronics Item 80,Electronics,Mobiles,Brand_12,2023-02-21,2985.45,5584.25,SUP0409,4.4,0.013,6
P00081,Home Appliances Item 81,Home Appliances,Kitchen,Brand_1,2021-02-22,12247.81,17860.12,SUP0066,3.4,0.033,36
P00082,Electronics Item 82,Electronics,Mobiles,Brand_98,2025-05-09,31813.89,52668.49,SUP0280,4.2,0.064,12
P00083,Grocery Item 83,Grocery,Staples,Brand_69,2024-09-27,238.74,431.47,SUP0265,,0.029,0
P00084,Home Appliances Item 84,Home Appliances,Kitchen,Brand_90,2021-02-15,11724.93,15630.64,SUP0279,4.0,0.005,24
P00085,Electronics Item 85,Electronics,Mobiles,Brand_89,2021-09-23,3487.15,7331.11,SUP0279,2.5,0.164,12
P00086,Electronics Item 86,Electronics,Mobiles,Brand_45,2023-04-13,9200.04,11926.48,SUP0398,4.5,0.03,24
P00087,Electronics Item 87,Electronics,Mobiles,Brand_100,2023-09-16,14068.77,19332.07,SUP0151,4.8,0.057,24
P00088,Fashion Item 88,Fashion,Womenswear,Brand_46,2022-01-10,1024.6,1847.34,SUP0397,4.1,0.113,0
P00089,Electronics Item 89,Electronics,Mobiles,Brand_100,2021-05-22,3523.75,5313.41,SUP0088,3.7,0.067,24
P00090,Electronics Item 90,Electronics,Mobiles,Brand_10,2025-07-07,7631.88,10090.2,SUP0166,4.4,0.028,24
P00091,Fashion Item 91,Fashion,Womenswear,Brand_20,2020-12-02,699.95,1029.79,SUP0003,4.0,0.081,0
P00092,Electronics Item 92,Electronics,Mobiles,Brand_76,2025-05-27,4873.72,10485.76,SUP0056,2.7,0.173,36
P00093,Home Appliances Item 93,Home Appliances,Kitchen,Brand_19,2020-03-29,3643.22,5169.52,SUP0200,4.8,0.052,6
P00094,Fashion Item 94,Fashion,Womenswear,Brand_5,2018-09-03,1457.35,2067.56,SUP0333,3.5,0.065,0
P00095,Grocery Item 95,Grocery,Staples,Brand_68,2025-10-13,189.56,313.67,SUP0132,4.3,0.034,0
P00096,Grocery Item 96,Grocery,Staples,Brand_75,2022-02-18,177.0,318.63,SUP0473,2.2,0.136,0
P00097,Furniture Item 97,Furniture,Living Room,Brand_75,2019-01-24,4650.08,6880.33,SUP0409,4.3,0.014,12
P00098,Furniture Item 98,Furniture,Living Room,Brand_43,2019-03-24,11712.49,21334.18,SUP0026,3.3,0.043,12
P00099,Electronics Item 99,Electronics,Mobiles,Brand_14,2023-01-29,5701.75,9457.74,SUP0423,3.1,0.022,12
P00100,Electronics Item 100,Electronics,Mobiles,Brand_40,2024-03-10,7396.55,11643.98,SUP0438,5.0,0.107,12
P00101,Electronics Item 101,Electronics,Mobiles,Brand_88,2018-11-14,9744.07,13116.13,SUP0065,3.1,0.056,12
P00102,Electronics Item 102,Electronics,Mobiles,Brand_100,2018-07-06,29474.49,44193.43,SUP0439,3.4,0.02,24
P00103,Home Appliances Item 103,Home Appliances,Kitchen,Brand_35,2022-06-26,9849.7,16619.69,SUP0453,3.6,0.06,6
P00104,Furniture Item 104,Furniture,Living Room,Brand_94,2025-12-12,4920.93,8783.61,SUP0160,4.1,0.052,36
P00105,Grocery Item 105,Grocery,Staples,Brand_38,2018-08-10,320.83,629.56,SUP0081,3.7,0.044,0
P00106,Electronics Item 106,Electronics,Mobiles,Brand_29,2023-08-10,7668.37,13246.06,SUP0007,4.5,0.077,36
P00107,Electronics Item 107,Electronics,Mobiles,Brand_44,2024-04-26,11392.98,21199.96,SUP0353,2.7,0.133,12
P00108,Grocery Item 108,Grocery,Staples,Brand_32,2025-07-22,322.88,455.07,SUP0051,3.8,0.066,0
P00109,Electronics Item 109,Electronics,Mobiles,Brand_16,2024-05-22,4373.66,5800.28,SUP0162,3.9,0.027,24
P00110,Grocery Item 110,Grocery,Staples,Brand_32,2023-08-11,140.75,241.07,SUP0061,4.6,0.067,0
P00111,Fashion Item 111,Fashion,Womenswear,Brand_46,2025-12-19,748.82,1166.29,SUP0061,3.3,0.119,0
P00112,Furniture Item 112,Furniture,Living Room,Brand_5,2025-01-11,12695.69,23376.56,SUP0412,3.0,0.059,12
P00113,Home Appliances Item 113,Home Appliances,Kitchen,Brand_30,2022-12-14,4978.56,9742.62,SUP0272,4.6,0.067,6
P00114,Grocery Item 114,Grocery,Staples,Brand_27,2022-01-09,642.83,786.48,SUP0169,4.4,0.005,0
P00115,Grocery Item 115,Grocery,Staples,Brand_47,2020-12-18,141.92,229.23,SUP0072,3.1,0.053,0
P00116,Grocery Item 116,Grocery,Staples,Brand_68,2019-07-30,239.51,395.17,SUP0059,3.7,0.005,0
P00117,Fashion Item 117,Fashion,Womenswear,Brand_70,2018-07-17,1702.36,2231.99,SUP0319,3.8,0.063,0
P00118,Furniture Item 118,Furniture,Living Room,Brand_13,2024-05-03,14725.46,18958.41,SUP0487,3.8,0.049,36
P00119,Fashion Item 119,Fashion,Womenswear,Brand_72,2019-02-20,616.33,1106.87,SUP0173,4.6,0.063,0
P00120,Fashion Item 120,Fashion,Womenswear,Brand_61,2023-07-14,531.09,835.8,SUP0071,3.9,0.124,0
P00121,Fashion Item 121,Fashion,Womenswear,Brand_75,2024-03-13,2093.88,3824.7,SUP0422,3.9,0.114,0
P00122,Grocery Item 122,Grocery,Staples,Brand_3,2022-03-07,557.68,1185.11,SUP0206,3.6,0.047,0
P00123,Furniture Item 123,Furniture,Living Room,Brand_55,2019-04-29,9312.62,13623.21,SUP0102,4.3,0.046,36
P00124,Electronics Item 124,Electronics,Mobiles,Brand_57,2018-01-21,25811.5,37726.95,SUP0443,4.1,0.026,6
P00125,Grocery Item 125,Grocery,Staples,Brand_66,2020-06-29,225.49,326.48,SUP0234,3.6,0.073,0
P00126,Fashion Item 126,Fashion,Womenswear,Brand_89,2024-10-24,1346.25,2829.37,SUP0375,3.2,0.111,0
P00127,Grocery Item 127,Grocery,Staples,Brand_44,2019-09-28,380.19,554.09,SUP0485,3.8,0.067,0
P00128,Electronics Item 128,Electronics,Mobiles,Brand_37,2020-07-27,11156.29,23888.07,SUP0093,5.0,0.103,24
P00129,Electronics Item 129,Electronics,Mobiles,Brand_26,2023-02-27,30211.26,49602.86,SUP0345,3.4,0.035,24
P00130,Furniture Item 130,Furniture,Living Room,Brand_4,2021-10-17,2764.11,5688.03,SUP0243,4.6,0.009,24
P00131,Electronics Item 131,Electronics,Mobiles,Brand_44,2023-05-02,13280.7,16252.1,SUP0128,3.6,0.042,6
P00132,Home Appliances Item 132,Home Appliances,Kitchen,Brand_83,2024-01-30,41131.09,70964.09,SUP0335,3.7,0.033,12
P00133,Fashion Item 133,Fashion,Womenswear,Brand_80,2021-12-12,684.62,887.04,SUP0221,,0.062,0
P00134,Grocery Item 134,Grocery,Staples,Brand_9,2024-03-21,313.53,526.3,SUP0093,4.8,0.059,0
P00135,Grocery Item 135,Grocery,Staples,Brand_57,2024-09-16,314.93,522.91,SUP0318,4.0,0.055,0
P00136,Fashion Item 136,Fashion,Womenswear,Brand_75,2024-12-05,711.58,1202.5,SUP0486,3.8,0.109,0
P00137,Fashion Item 137,Fashion,Womenswear,Brand_97,2018-09-30,1652.19,2315.52,SUP0186,5.0,0.122,0
P00138,Grocery Item 138,Grocery,Staples,Brand_25,2022-12-30,77.82,126.74,SUP0477,5.0,0.039,0
P00139,Electronics Item 139,Electronics,Mobiles,Brand_98,2022-03-08,9665.02,20827.02,SUP0127,3.0,0.014,6
P00140,Electronics Item 140,Electronics,Mobiles,Brand_15,2021-06-02,5622.28,11928.31,SUP0228,3.4,0.04,36
P00141,Home Appliances Item 141,Home Appliances,Kitchen,Brand_88,2022-07-08,4259.78,8165.61,SUP0443,3.8,0.005,6
P00142,Electronics Item 142,Electronics,Mobiles,Brand_19,2022-08-17,5659.88,8577.39,SUP0018,2.5,0.168,6
P00143,Home Appliances Item 143,Home Appliances,Kitchen,Brand_30,2020-11-30,2506.98,4359.09,SUP0052,4.3,0.061,6
P00144,Grocery Item 144,Grocery,Staples,Brand_66,2021-03-09,631.52,902.17,SUP0387,4.4,0.008,0
P00145,Electronics Item 145,Electronics,Mobiles,Brand_58,2019-07-18,12774.54,22954.22,SUP0393,2.8,0.167,6
P00146,Fashion Item 146,Fashion,Womenswear,Brand_94,2025-01-22,759.67,1606.73,SUP0096,5.0,0.09,0
P00147,Fashion Item 147,Fashion,Womenswear,Brand_92,2022-03-29,547.78,1109.14,SUP0051,3.2,0.122,0
P00148,Grocery Item 148,Grocery,Staples,Brand_83,2018-11-15,573.59,708.4,SUP0287,4.4,0.067,0
P00149,Grocery Item 149,Grocery,Staples,Brand_14,2024-07-19,208.22,349.58,SUP0101,3.5,0.005,0
P00150,Fashion Item 150,Fashion,Womenswear,Brand_59,2024-01-08,1476.72,1891.68,SUP0439,,0.108,0
P00151,Fashion Item 151,Fashion,Womenswear,Brand_26,2019-02-18,2426.21,3420.94,SUP0245,3.2,0.088,0
P00152,Fashion Item 152,Fashion,Womenswear,Brand_86,2022-07-10,1233.33,1554.86,SUP0244,4.9,0.148,0
P00153,Furniture Item 153,Furniture,Living Room,Brand_1,2019-09-28,14985.54,23343.19,SUP0297,4.7,0.037,12
P00154,Home Appliances Item 154,Home Appliances,Kitchen,Brand_69,2021-05-02,4316.05,7017.29,SUP0035,2.0,0.203,36
P00155,Fashion Item 155,Fashion,Womenswear,Brand_86,2020-10-28,1869.27,2354.33,SUP0296,1.7,0.249,0
P00156,Fashion Item 156,Fashion,Womenswear,Brand_97,2023-11-01,578.56,807.86,SUP0291,3.9,0.129,0
P00157,Fashion Item 157,Fashion,Womenswear,Brand_49,2023-01-25,2234.73,3219.24,SUP0399,3.8,0.104,0
P00158,Fashion Item 158,Fashion,Womenswear,Brand_9,2018-07-02,2567.38,5210.75,SUP0257,,0.105,0
P00159,Fashion Item 159,Fashion,Womenswear,Brand_88,2020-08-20,1986.8,3206.46,SUP0359,,0.103,0
P00160,Electronics Item 160,Electronics,Mobiles,Brand_61,2019-11-22,11151.77,16460.46,SUP0287,4.5,0.04,12
P00161,Fashion Item 161,Fashion,Womenswear,Brand_92,2021-07-07,705.87,1301.61,SUP0178,3.7,0.066,0
P00162,Home Appliances Item 162,Home Appliances,Kitchen,Brand_90,2023-10-03,2677.34,4117.19,SUP0106,4.3,0.054,24
P00163,Grocery Item 163,Grocery,Staples,Brand_5,2024-03-08,416.9,531.2,SUP0301,3.0,0.043,0
P00164,Home Appliances Item 164,Home Appliances,Kitchen,Brand_4,2019-05-28,12188.83,15832.6,SUP0433,3.8,0.092,24
P00165,Fashion Item 165,Fashion,Womenswear,Brand_67,2018-10-05,1026.54,1605.63,SUP0232,4.0,0.112,0
P00166,Home Appliances Item 166,Home Appliances,Kitchen,Brand_59,2021-12-09,3262.78,4732.36,SUP0062,4.2,0.068,12
P00167,Furniture Item 167,Furniture,Living Room,Brand_92,2022-12-01,2587.49,4213.54,SUP0481,5.0,0.029,6
P00168,Electronics Item 168,Electronics,Mobiles,Brand_42,2020-01-29,5027.86,9474.53,SUP0430,4.4,0.032,24
P00169,Electronics Item 169,Electronics,Mobiles,Brand_8,2021-11-09,21886.28,33127.75,SUP0433,3.8,0.073,24
P00170,Fashion Item 170,Fashion,Womenswear,Brand_5,2018-11-08,1267.04,1772.55,SUP0038,3.4,0.075,0
P00171,Fashion Item 171,Fashion,Womenswear,Brand_65,2018-08-10,560.23,1234.41,SUP0459,4.7,0.089,0
P00172,Electronics Item 172,Electronics,Mobiles,Brand_69,2022-12-27,12107.81,15386.21,SUP0337,4.0,0.06,6
P00173,Home Appliances Item 173,Home Appliances,Kitchen,Brand_20,2018-10-21,9886.28,13514.49,SUP0094,3.9,0.005,12
P00174,Fashion Item 174,Fashion,Womenswear,Brand_96,2019-04-18,789.64,1021.66,SUP0354,4.0,0.036,0
P00175,Home Appliances Item 175,Home Appliances,Kitchen,Brand_5,2025-07-08,46274.11,57521.23,SUP0251,,0.07,6
P00176,Furniture Item 176,Furniture,Living Room,Brand_83,2024-01-29,12642.59,22075.84,SUP0381,4.3,0.058,24
P00177,Fashion Item 177,Fashion,Womenswear,Brand_64,2018-09-14,548.09,919.17,SUP0175,3.9,0.112,0
P00178,Electronics Item 178,Electronics,Mobiles,Brand_88,2020-01-23,7186.78,11065.55,SUP0158,4.3,0.026,36
P00179,Home Appliances Item 179,Home Appliances,Kitchen,Brand_100,2020-11-01,4951.53,10818.23,SUP0436,3.4,0.028,12
P00180,Fashion Item 180,Fashion,Womenswear,Brand_30,2018-03-28,2113.17,2646.4,SUP0476,3.7,0.087,0
P00181,Electronics Item 181,Electronics,Mobiles,Brand_18,2023-06-03,14502.92,22801.54,SUP0482,4.4,0.007,24
P00182,Grocery Item 182,Grocery,Staples,Brand_80,2024-09-29,114.64,141.48,SUP0303,2.8,0.146,0
P00183,Home Appliances Item 183,Home Appliances,Kitchen,Brand_27,2022-10-19,11059.96,16738.13,SUP0071,4.3,0.019,12
P00184,Furniture Item 184,Furniture,Living Room,Brand_26,2018-01-28,9994.55,13613.88,SUP0363,4.7,0.051,12
P00185,Fashion Item 185,Fashion,Womenswear,Brand_10,2025-05-23,1165.21,1604.82,SUP0370,3.5,0.031,0
P00186,Grocery Item 186,Grocery,Staples,Brand_35,2024-12-28,579.3,739.54,SUP0330,4.0,0.005,0
P00187,Furniture Item 187,Furniture,Living Room,Brand_47,2022-02-14,5696.41,7034.79,SUP0055,3.4,0.046,12
P00188,Electronics Item 188,Electronics,Mobiles,Brand_2,2023-08-13,18707.88,25445.62,SUP0377,,0.048,6
P00189,Home Appliances Item 189,Home Appliances,Kitchen,Brand_5,2019-05-28,2161.52,3750.13,SUP0233,4.4,0.012,6
P00190,Electronics Item 190,Electronics,Mobiles,Brand_69,2019-01-17,36152.19,60458.99,SUP0312,4.6,0.005,6
P00191,Furniture Item 191,Furniture,Living Room,Brand_33,2023-08-23,5788.71,12773.39,SUP0347,2.8,0.148,6
P00192,Electronics Item 192,Electronics,Mobiles,Brand_100,2023-12-05,26723.22,41841.43,SUP0001,4.9,0.029,24
P00193,Fashion Item 193,Fashion,Womenswear,Brand_95,2024-10-19,1250.56,2099.19,SUP0129,3.2,0.099,0
P00194,Fashion Item 194,Fashion,Womenswear,Brand_47,2025-05-03,2891.39,3681.72,SUP0117,3.1,0.12,0
P00195,Grocery Item 195,Grocery,Staples,Brand_24,2018-10-28,418.86,556.34,SUP0478,2.7,0.243,0
P00196,Home Appliances Item 196,Home Appliances,Kitchen,Brand_21,2019-12-19,12378.76,16548.77,SUP0423,3.4,0.039,6
P00197,Home Appliances Item 197,Home Appliances,Kitchen,Brand_81,2021-10-27,5685.46,8254.79,SUP0250,,0.034,36
P00198,Fashion Item 198,Fashion,Womenswear,Brand_92,2024-07-17,934.0,1292.52,SUP0364,4.3,0.102,0
P00199,Home Appliances Item 199,Home Appliances,Kitchen,Brand_60,2021-01-15,4537.3,9802.21,SUP0471,4.3,0.042,24
P00200,Fashion Item 200,Fashion,Womenswear,Brand_32,2025-06-06,722.75,1202.94,SUP0379,3.3,0.056,0
P00201,Furniture Item 201,Furniture,Living Room,Brand_78,2023-05-28,8171.96,14671.16,SUP0144,,0.039,24
P00202,Furniture Item 202,Furniture,Living Room,Brand_34,2022-01-20,5338.67,7761.4,SUP0110,3.8,0.033,12
P00203,Grocery Item 203,Grocery,Staples,Brand_4,2020-04-28,200.99,294.6,SUP0236,4.6,0.085,0
P00204,Grocery Item 204,Grocery,Staples,Brand_42,2021-12-24,298.6,573.17,SUP0210,3.2,0.039,0
P00205,Home Appliances Item 205,Home Appliances,Kitchen,Brand_96,2018-09-23,1983.21,3454.82,SUP0269,3.5,0.071,36
P00206,Grocery Item 206,Grocery,Staples,Brand_24,2024-10-30,371.54,556.89,SUP0384,3.9,0.013,0
P00207,Fashion Item 207,Fashion,Womenswear,Brand_17,2019-07-26,2362.74,5114.49,SUP0302,5.0,0.094,0
P00208,Grocery Item 208,Grocery,Staples,Brand_90,2021-02-15,421.52,528.62,SUP0442,3.9,0.077,0
P00209,Home Appliances Item 209,Home Appliances,Kitchen,Brand_93,2024-05-17,7097.46,14826.23,SUP0085,3.7,0.035,36
P00210,Grocery Item 210,Grocery,Staples,Brand_44,2020-11-24,322.59,699.17,SUP0151,3.3,0.006,0
P00211,Electronics Item 211,Electronics,Mobiles,Brand_96,2025-05-29,11633.17,24803.55,SUP0328,3.9,0.014,6
P00212,Grocery Item 212,Grocery,Staples,Brand_52,2025-04-27,630.06,806.49,SUP0279,3.6,0.018,0
P00213,Electronics Item 213,Electronics,Mobiles,Brand_67,2019-09-22,16439.12,20693.98,SUP0292,2.5,0.142,6
P00214,Home Appliances Item 214,Home Appliances,Kitchen,Brand_55,2022-10-30,9023.47,12718.34,SUP0403,3.2,0.062,6
P00215,Furniture Item 215,Furniture,Living Room,Brand_60,2024-11-11,19435.02,26286.24,SUP0124,3.0,0.031,12
P00216,Fashion Item 216,Fashion,Womenswear,Brand_40,2020-12-17,3146.81,5155.52,SUP0053,4.0,0.094,0
P00217,Grocery Item 217,Grocery,Staples,Brand_51,2021-12-07,368.95,562.7,SUP0233,4.4,0.062,0
P00218,Fashion Item 218,Fashion,Womenswear,Brand_63,2024-04-30,833.28,1242.76,SUP0062,3.4,0.086,0
P00219,Grocery Item 219,Grocery,Staples,Brand_76,2019-01-18,187.52,251.4,SUP0070,3.7,0.005,0
P00220,Grocery Item 220,Grocery,Staples,Brand_69,2020-08-26,295.94,530.74,SUP0292,3.1,0.037,0
P00221,Electronics Item 221,Electronics,Mobiles,Brand_39,2022-04-01,10068.31,20079.31,SUP0345,4.3,0.02,12
